,userId,movieId,rating,timestamp,Recommendation,Precision,Recall,Accuracy,Evaluation
0,2,1376,5.0,1141417402,"[1375, 1374, 1372, 1371, 1373, 1356, 2393, 1127]",1.0,0.25,0.25,"[0, 2, 0, 0, 0, 2, 0, 0]"
1,4,115569,5.0,1573938464,"[104879, 112183, 112556, 115713, 112552, 88129, 139644, 122882]",1.0,0.5,0.5,"[0, 0, 0, 2, 2, 0, 2, 2]"
2,19,4720,5.0,1445874893,"[5679, 5502, 2762, 5445, 3994, 5266, 4226, 6502]",1.0,0.125,0.125,"[0, 0, 0, 0, 0, 0, 0, 2]"
3,21,122886,5.0,1456284519,"[112852, 122904, 134130, 166528, 122882, 89745, 91529, 122892]",1.0,0.875,0.875,"[2, 2, 2, 0, 2, 2, 2, 2]"
4,29,68848,5.0,1340067765,"[44761, 66665, 71211, 67267, 55805, 68073, 71745, 67734]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
5,41,2505,5.0,944571275,"[2126, 1552, 1645, 3005, 1805, 1573, 1092, 2490]",0.6,0.5,0.625,"[1, 1, 0, 2, 0, 2, 0, 2]"
6,42,593,5.0,956935405,"[296, 318, 356, 47, 50, 527, 480, 457]",1.0,0.25,0.25,"[0, 0, 0, 2, 2, 0, 0, 0]"
7,47,25,5.0,855093790,"[36, 608, 6, 32, 141, 21, 52, 17]",0.6666666666666666,0.2857142857142857,0.375,"[2, 2, 0, 0, 0, 0, 1, 0]"
8,50,46578,5.0,1402504822,"[56367, 7361, 48394, 6711, 55820, 63082, 4973, 48774]",1.0,0.25,0.25,"[0, 2, 0, 2, 0, 0, 0, 0]"
9,53,81845,5.0,1459571044,"[79132, 80463, 63082, 68954, 81591, 68157, 60069, 116797]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
10,54,1198,5.0,1134595238,"[1291, 1196, 260, 1210, 1270, 2571, 1240, 1036]",1.0,0.125,0.125,"[2, 0, 0, 0, 0, 0, 0, 0]"
11,55,44555,5.0,1394134952,"[6016, 55820, 4973, 31410, 56782, 7361, 48516, 48394]",0.75,0.42857142857142855,0.5,"[2, 2, 1, 0, 0, 2, 0, 0]"
12,56,2571,5.0,1166775536,"[2959, 4993, 7153, 1196, 5952, 260, 1198, 3578]",0.8,0.5714285714285714,0.625,"[0, 2, 1, 0, 2, 2, 0, 2]"
13,64,527,5.0,1434644501,"[318, 593, 356, 296, 50, 110, 2028, 858]",1.0,0.375,0.375,"[2, 0, 2, 0, 0, 0, 0, 2]"
14,69,608,5.0,1242591082,"[296, 50, 593, 1089, 1213, 32, 858, 1617]",0.75,0.42857142857142855,0.5,"[2, 0, 2, 1, 0, 0, 0, 2]"
15,76,69951,5.0,1285211071,"[74789, 71156, 71057, 71745, 66097, 59387, 56757, 48043]",0.6666666666666666,0.2857142857142857,0.375,"[0, 2, 0, 1, 2, 0, 0, 0]"
16,82,143009,5.0,1443201387,"[169770, 168568, 152717, 190527, 197919, 197929, 197931, 129068]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
17,83,2804,5.0,1059510916,"[2918, 2797, 1968, 1259, 2791, 1197, 919, 1394]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
18,84,61240,5.0,1481829285,"[48394, 68237, 56782, 55820, 27773, 64839, 48774, 70286]",0.6666666666666666,0.2857142857142857,0.375,"[0, 0, 2, 0, 2, 0, 1, 0]"
19,99,1281,5.0,1511722046,"[3462, 3629, 3307, 3310, 3022, 1260, 1256, 1212]",1.0,0.25,0.25,"[2, 0, 2, 0, 0, 0, 0, 0]"
20,104,150,5.0,1547912847,"[457, 590, 380, 592, 480, 356, 110, 377]",1.0,0.25,0.25,"[0, 0, 0, 0, 2, 2, 0, 0]"
21,109,1200,5.0,1545076265,"[1214, 1240, 1196, 541, 1036, 1198, 589, 1291]",1.0,1.0,1.0,"[2, 2, 2, 2, 2, 2, 2, 2]"
22,113,3504,5.0,1467070323,"[3362, 3730, 1252, 3683, 1230, 1952, 1953, 3435]",,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
23,119,1035,5.0,1442376950,"[1028, 919, 914, 1380, 953, 1022, 1097, 1947]",1.0,0.375,0.375,"[2, 0, 2, 0, 0, 0, 2, 0]"
24,121,910,5.0,973554729,"[909, 899, 908, 913, 903, 912, 904, 969]",1.0,0.625,0.625,"[0, 2, 2, 2, 2, 2, 0, 0]"
25,134,7153,5.0,1120094477,"[5952, 4993, 2571, 6539, 58559, 33794, 2959, 6377]",1.0,0.5,0.5,"[2, 2, 0, 0, 0, 2, 2, 0]"
26,139,1147,5.0,1267736968,"[246, 162, 2289, 2064, 1189, 1228, 994, 800]",1.0,0.125,0.125,"[0, 0, 0, 0, 0, 2, 0, 0]"
